Category: All categories

Country,how to cook egusi soup: (6/20/14 - 6/20/19)
Nigeria,100,NGA
United States,0.5,USA
Equatorial Guinea,
Gambia,
Cameroon,
Liberia,
Benin,
Niger,
Sierra Leone,
Togo,
Ghana,
Gabon,
Zimbabwe,
Angola,
Senegal,
South Africa,
Bolivia,
Trinidad & Tobago,
Cyprus,
China,
St. Helena,
Qatar,
Netherlands,
Tanzania,
Kenya,
United Arab Emirates,
Georgia,
Malaysia,
United Kingdom,
Ireland,
Canada,
Australia,
Singapore,
Portugal,
Israel,
Hungary,
Italy,
Austria,
Switzerland,
South Korea,
Ukraine,
Belgium,
Egypt,
Germany,
Sweden,
Philippines,
France,
Indonesia,
India,
Thailand,
Turkey,
Spain,
Russia,
Japan,
Brazil,
Aruba,
Afghanistan,
Anguilla,
Åland Islands,
Albania,
Andorra,
Argentina,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Chile,
Côte d’Ivoire,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Czechia,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Guinea-Bissau,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Lebanon,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Norfolk Island,
Nicaragua,
Niue,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Romania,
Rwanda,
Saudi Arabia,
Sudan,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tunisia,
Tuvalu,
Taiwan,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
