Category: All categories

Country,how to cook jollof rice: (6/20/14 - 6/20/19)
Nigeria,100,NGA
Ghana,37,GHA
United Kingdom,1,GBR
United States,<1,USA
Equatorial Guinea,
Dominica,
Gambia,
Benin,
St. Vincent & Grenadines,
Botswana,
Sierra Leone,
Eswatini,
Cameroon,
Niger,
Liberia,
Togo,
Zimbabwe,
Congo - Brazzaville,
Namibia,
Gabon,
Zambia,
Guinea,
Rwanda,
Burkina Faso,
Uganda,
St. Helena,
South Africa,
Kenya,
Cyprus,
Mozambique,
Senegal,
Jamaica,
Côte d’Ivoire,
Bolivia,
Tanzania,
Netherlands,
Cambodia,
Armenia,
Sudan,
Oman,
Qatar,
Canada,
Lebanon,
Ireland,
Kuwait,
New Zealand,
Norway,
United Arab Emirates,
Bulgaria,
Malaysia,
Ecuador,
Australia,
Morocco,
Saudi Arabia,
Czechia,
Philippines,
Hungary,
Sweden,
Germany,
Austria,
Switzerland,
Pakistan,
Belgium,
Egypt,
Italy,
India,
Ukraine,
Spain,
France,
Indonesia,
Turkey,
Russia,
Mexico,
Japan,
Brazil,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Argentina,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Caribbean Netherlands,
Bangladesh,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Chile,
China,
Congo - Kinshasa,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Denmark,
Dominican Republic,
Algeria,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Georgia,
Guernsey,
Gibraltar,
Guadeloupe,
Guinea-Bissau,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Israel,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
South Korea,
Laos,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
New Caledonia,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Panama,
Pitcairn Islands,
Peru,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Romania,
Singapore,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Thailand,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Tuvalu,
Taiwan,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
